Site,number,movement,temp,pH,cond,DO,Turb,Cl,Nitrate,Mo,Fe,Ld,NH4,Ph,Nitrite,Cu,Si,Sulfide,Fluoride,Sulfate,Hg,Ni,Ca,Tl,Tp,Th,Hb,Rcr,Rce,Sl,Efr,Efl,Rr,Aa,Sa,Dr
33,7,Len,28.9,7.51,118.2,5.51,19.42,0,0,0,0.51,0,1.209,1.83,0.33,0.06,3.81,0,0,0,0.03,0,,0,0,1,0,0,0,1,1,2,0,1,0,0
34,0,Lo,28.7,7.61,159.6,6.62,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,Lo,29.6,7.7,112,10.82,16.38,0.08,0,0,0.42,0,2.444,0.55,0.066,0,6.6,0.01,0,1,0,0,,0,1,2,0,0,0,0,0,0,0,0,0,0
36,3,Lo,30.6,8.15,58.2,3.37,22.04,0.05,0.22,0,0.52,0,1.222,0.5,0.033,0,3.54,0,0,1,0.02,0,,0,1,1,0,0,0,0,0,0,0,0,0,0
37,1,Len,31,8.23,39.1,5.05,29.94,0,0.132,0,0.74,0,1.157,0.21,0,0,4.5,0,0,1,0.03,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Len,28.2,7.73,251,11.57,12.15,0.08,0,0,0.35,0.12,1.105,0.31,0.033,0.08,3.5,0.01,0,11,0.02,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,Lo,29.7,7.73,332,4.72,25.75,0,0.264,0,0.53,0.02,1.144,0.17,0,0.03,3.42,0,0,14,0.01,0,,0,0,1,0,0,0,0,0,0,0,0,0,0
40,0,Lo,30.1,8.25,670,9.98,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,Lo,30.9,8.6,335,7.6,18.55,0.01,3.212,0,0.43,0.03,1.287,0.35,0.099,0.01,5.72,0,0,38,0.05,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
42,4,Lo,32.3,8.26,331,4.16,9.51,0.06,2.596,0,0.37,0.02,1.3,0.89,0.231,0,6.46,0,0,31,0.05,0,,3,0,0,0,0,0,0,0,0,0,0,0,0
43,4,Len,31.3,8.56,305,10.33,7.14,0.06,3.3,0,0.56,0.04,1.157,0.41,0.099,0,5.28,0.03,0,34,0.03,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,Len,31.6,6.52,85.1,7.44,35.15,0.17,0,0,0.65,0,0.94,0.32,0,0.03,2.27,0,0,3,0.03,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
46,9,Len,30.4,7.08,88.1,3.76,,,,,,,,,,,,,,,,,,0,2,3,0,0,0,0,1,0,0,1,0,0
47,0,Len,31.4,8.32,58.1,2.74,17.04,0.05,0,0,0.84,0,0.76,0.13,0.033,0.02,12.36,0,0,2,0.04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,Len,34.5,8.31,64.6,11.25,3.99,0.02,0.132,0,0.09,0,0.51,0.03,0.066,0.05,1.69,0.01,0,1,0.05,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
49,0,Len,32.1,8.14,3.66,198.9,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
50,10,Len,35,6.24,100.5,4.8,24.19,0.03,0,0,0.56,0,0.9,0.53,0,0.01,8.32,0,0,4,0.05,0,,1,0,3,0,0,0,0,0,0,0,0,0,0
51,7,Len,35.2,7.4,57,6.54,16,0.01,0.176,0,0.44,0,0.88,0.49,0,0.04,5.38,0,0,2,0.03,0,,0,0,3,0,0,0,0,4,0,0,0,0,0
52,0,Len,31.3,7.5,191.9,11.25,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,Lo,28.8,7.65,49.3,10.14,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,Len,29.6,7.24,133.2,11.77,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,Lo,28.4,7.58,37.1,11.44,5.24,0.08,1.76,0,0.28,0,0.61,0.1,0.033,0.03,7.96,0.02,0,1,0.02,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,Lo,32.3,7.26,39.6,12.44,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,Len,35.2,7.18,41.1,12.78,13.11,0.04,0,0,0.12,0,0.44,0.06,0.033,0,4.6,0.01,0,1,0.03,0,,0,0,3,0,0,0,0,0,0,0,0,0,0
58,0,Lo,32.7,6.93,113.2,9.74,9.41,0.27,0.02,0,0.35,0.02,0.31,0.23,0.01,0.04,8.8,0,0.7,1,0.05,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,Lo,29.5,6.55,108.3,6.1,72.77,0.58,0,13.4,3.82,0,0.73,0.18,0.07,1.55,2.72,0,0,6,0.29,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,Len,,,,,6.03,0.05,0.07,0,0.12,,0.52,0.27,0.1,0.08,3.19,0,0.42,2,0,,,0,0,0,0,0,0,0,0,0,0,2,0,0
